Network,Metric,Value,Follows_Power_Law
413150.net,P-Value,4.9912605050671606e-06,True
438100.net,P-Value,1.0,False
304930.net,P-Value,0.00011920429082389031,True
578080.net,P-Value,6.690119259891813e-08,True
755790.net,P-Value,1.0,False
550650.net,P-Value,1.0,False
532210.net,P-Value,0.009799270053899271,True
10.net,P-Value,0.2008140520584819,False
8930.net,P-Value,0.034880335910184135,True
1097150.net,P-Value,0.0631824329370082,False
945360.net,P-Value,0.16128210788776232,False
1938090.net,P-Value,0.002404013143391927,True
291480.net,P-Value,1.0,False
1623730.net,P-Value,0.010483358977389218,True
1174180.net,P-Value,0.030170559509639226,True
477160.net,P-Value,0.0004409241081359923,True
301520.net,P-Value,1.0,False
417910.net,P-Value,1.0,False
291550.net,P-Value,3.842382822931663e-06,True
570.net,P-Value,4.87004789944061e-06,True
252490.net,P-Value,0.0005477257684658749,True
582010.net,P-Value,0.004333043180618972,True
1811260.net,P-Value,0.0028916711100515097,True
230410.net,P-Value,1.0,False
553850.net,P-Value,0.07176928724793927,False
4000.net,P-Value,0.036545304344971004,True
377160.net,P-Value,0.00011264027503430366,True
1086940.net,P-Value,0.014327209864233918,True
251570.net,P-Value,0.049305312938058496,True
105600.net,P-Value,0.019432544710499933,True
386360.net,P-Value,0.001777845120047764,True
250900.net,P-Value,0.0040693822315623655,True
239140.net,P-Value,0.007047943324588452,True
431960.net,P-Value,0.0035868434532432057,True
70.net,P-Value,0.0029951698194830537,True
1245620.net,P-Value,0.002138072465221334,True
444090.net,P-Value,1.0,False
400.net,P-Value,0.17413895540077806,False
49520.net,P-Value,0.00017195380107708257,True
901583.net,P-Value,0.0841529820733046,False
814380.net,P-Value,0.13253335625159188,False
